Date,Momentum,,,,,
2020-12-24,1.88,,,,,
2020-12-25,0.18,,,,,
2020-12-26,2.59,,,,,
2020-12-27,2.52,,,,,
2020-12-28,2.78,,,,,
2020-12-29,1.95,,,,,
2020-12-30,1.12,,,,,
2020-12-31,0.98,,,,,
2021-01-01,0.11,,,,,
2021-01-02,-0.43,,,,,
2021-01-03,3.55,,,,,
2021-01-04,5.16,,,,,
2021-01-05,2.05,,,,,
2021-01-06,0.23,,,,,
2021-01-07,1.58,,,,,
2021-01-08,4.68,,,,,
2021-01-09,2.63,,,,,
2021-01-10,2.05,,,,,
2021-01-11,2.44,,,,,
2021-01-12,1.06,,,,,
2021-01-13,-3.79,,,,,
2021-01-14,-5.36,,,,,
2021-01-15,-1.76,,,,,
2021-01-16,-0.94,,,,,
2021-01-17,-3.28,,,,,
2021-01-18,-7.54,,,,,
2021-01-19,-4.45,,,,,
2021-01-20,-3.2,,,,,
2021-01-21,-2.51,,,,,
2021-01-22,-3.41,,,,,
2021-01-23,-0.94,,,,,
2021-01-24,0.04,,,,,
2021-01-25,0.12,,,,,
2021-01-26,-0.32,,,,,
2021-01-27,1.86,,,,,
2021-01-28,-0.37,,,,,
2021-01-29,-1.77,,,,,
2021-01-30,-4.33,,,,,
2021-01-31,-3.09,,,,,
2021-02-01,-2.28,,,,,
2021-02-02,-4.24,,,,,
2021-02-03,-5.7,,,,,
2021-02-04,-5.05,,,,,
2021-02-05,-5.9,,,,,
2021-02-06,-6.62,,,,,
2021-02-07,-1.52,,,,,
2021-02-08,-2.98,,,,,
2021-02-09,-2.26,,,,,
2021-02-10,-0.22,,,,,
2021-02-11,-0.18,,,,,
2021-02-12,1.62,,,,,
2021-02-13,3.28,,,,,
2021-02-14,2.1,,,,,
2021-02-15,4.81,,,,,
2021-02-16,5.36,,,,,
2021-02-17,2.68,,,,,
2021-02-18,6.27,,,,,
2021-02-19,8.67,,,,,
2021-02-20,5.97,,,,,
2021-02-21,5.79,,,,,
2021-02-22,5.16,,,,,
2021-02-23,4.23,,,,,
2021-02-24,4.42,,,,,
2021-02-25,2.91,,,,,
2021-02-26,2.33,,,,,
2021-02-27,3.27,,,,,
2021-02-28,0.87,,,,,
2021-03-01,-0.85,,,,,
2021-03-02,-1.32,,,,,
2021-03-03,-1.31,,,,,
2021-03-04,0.31,,,,,
2021-03-05,1.28,,,,,
2021-03-06,-1.01,,,,,
2021-03-07,-1.48,,,,,
2021-03-08,-2.95,,,,,
2021-03-09,-2.11,,,,,
2021-03-10,-0.96,,,,,
2021-03-11,-0.95,,,,,
2021-03-12,-0.49,,,,,
2021-03-13,-0.27,,,,,
2021-03-14,-0.58,,,,,
2021-03-15,-0.43,,,,,
2021-03-16,0.88,,,,,
2021-03-17,2.58,,,,,
2021-03-18,2.88,,,,,
2021-03-19,2.32,,,,,
2021-03-20,1.7,,,,,
2021-03-21,2.41,,,,,
2021-03-22,3.59,,,,,
2021-03-23,4.53,,,,,
2021-03-24,6.58,,,,,
2021-03-25,6.09,,,,,
2021-03-26,3.01,,,,,
2021-03-27,1.98,,,,,
2021-03-28,3.53,,,,,
2021-03-29,1.55,,,,,
2021-03-30,3.11,,,,,
2021-03-31,3.6,,,,,
2021-04-01,3.19,,,,,
2021-04-02,4.64,,,,,
2021-04-03,2.93,,,,,
2021-04-04,4.07,,,,,
2021-04-05,12.21,,,,,
2021-04-06,14.21,,,,,
2021-04-07,10,,,,,
2021-04-08,11.01,,,,,
2021-04-09,10.07,,,,,
2021-04-10,9.68,,,,,
2021-04-11,7.73,,,,,
