Date,disparity
2021-10-31,101.5473041
2021-11-01,99.85017673
2021-11-02,98.43370466
2021-11-03,101.8888118
2021-11-04,101.528196
2021-11-05,99.19995449
2021-11-06,98.4023746
2021-11-07,99.15341753
2021-11-08,100.5463915
2021-11-09,105.3756195
2021-11-10,103.1993517
2021-11-11,99.11034582
2021-11-12,98.68552535
2021-11-13,98.5403187
2021-11-14,99.45665408
2021-11-15,101.5518607
2021-11-16,100.250007
2021-11-17,95.75656255
2021-11-18,98.46803213
2021-11-19,95.09668865
2021-11-20,98.404014
2021-11-21,101.6317917
2021-11-22,101.2960107
2021-11-23,96.94122998
2021-11-24,99.74452917
2021-11-25,99.88926711
2021-11-26,104.9177993
2021-11-27,96.12646674
2021-11-28,98.16493488
2021-11-29,102.0465574
2021-11-30,103.1040897
2021-12-01,100.1529252
2021-12-02,100.1115456
2021-12-03,100.1516875
2021-12-04,98.21849694
2021-12-05,92.52738663
2021-12-06,95.30883054
2021-12-07,99.78640123
2021-12-08,101.1907727
2021-12-09,101.3752178
2021-12-10,96.55771789
2021-12-11,96.26871954
2021-12-12,100.7731145
2021-12-13,103.9234432
2021-12-14,97.29013742
2021-12-15,100.0790582
2021-12-16,101.8714701
2021-12-17,100.9123739
2021-12-18,97.82858787
2021-12-19,99.13221511
2021-12-20,99.67208016
2021-12-21,99.51419365
2021-12-22,102.8085124
2021-12-23,100.4938318
2021-12-24,103.2424499
2021-12-25,101.872131
2021-12-26,100.2659656
2021-12-27,100.2077111
2021-12-28,101.2419364
2021-12-29,96.83058946
2021-12-30,95.7930729
2021-12-31,99.02934445
