Date,Kimchi,,,,,
2020-12-19,-0.02,,,,,
2020-12-20,0.41,,,,,
2020-12-21,1.11,,,,,
2020-12-22,1.34,,,,,
2020-12-23,2.61,,,,,
2020-12-24,1.28,,,,,
2020-12-25,-0.16,,,,,
2020-12-26,0.88,,,,,
2020-12-27,1.6,,,,,
2020-12-28,1.79,,,,,
2020-12-29,1.92,,,,,
2020-12-30,1.53,,,,,
2020-12-31,2.09,,,,,
2021-01-01,1.45,,,,,
2021-01-02,2.19,,,,,
2021-01-03,4.83,,,,,
2021-01-04,5,,,,,
2021-01-05,2.93,,,,,
2021-01-06,1.83,,,,,
2021-01-07,3.37,,,,,
2021-01-08,6.6,,,,,
2021-01-09,4.17,,,,,
2021-01-10,4.14,,,,,
2021-01-11,3.89,,,,,
2021-01-12,3.25,,,,,
2021-01-13,1.04,,,,,
2021-01-14,-0.36,,,,,
2021-01-15,1.17,,,,,
2021-01-16,0.89,,,,,
2021-01-17,0.08,,,,,
2021-01-18,-0.93,,,,,
2021-01-19,-0.28,,,,,
2021-01-20,0.93,,,,,
2021-01-21,1.38,,,,,
2021-01-22,-0.16,,,,,
2021-01-23,0.1,,,,,
2021-01-24,-0.32,,,,,
2021-01-25,1.29,,,,,
2021-01-26,0.57,,,,,
2021-01-27,1.95,,,,,
2021-01-28,-1.3,,,,,
2021-01-29,-2.06,,,,,
2021-01-30,-3.4,,,,,
2021-01-31,-1.7,,,,,
2021-02-01,-2.44,,,,,
2021-02-02,-4.14,,,,,
2021-02-03,-6.02,,,,,
2021-02-04,-3.77,,,,,
2021-02-05,-5.33,,,,,
2021-02-06,-4.67,,,,,
2021-02-07,-2.82,,,,,
2021-02-08,-5.03,,,,,
2021-02-09,-5.66,,,,,
2021-02-10,-1.92,,,,,
2021-02-11,-2.62,,,,,
2021-02-12,-2.52,,,,,
2021-02-13,-2.74,,,,,
2021-02-14,-1.67,,,,,
2021-02-15,-0.52,,,,,
2021-02-16,0.69,,,,,
2021-02-17,-0.14,,,,,
2021-02-18,1.24,,,,,
2021-02-19,3.01,,,,,
2021-02-20,4.05,,,,,
2021-02-21,3.17,,,,,
2021-02-22,2.63,,,,,
2021-02-23,1.49,,,,,
2021-02-24,2.75,,,,,
2021-02-25,2.39,,,,,
2021-02-26,3.03,,,,,
2021-02-27,3.12,,,,,
2021-02-28,2.11,,,,,
2021-03-01,2.16,,,,,
2021-03-02,2.73,,,,,
2021-03-03,1.86,,,,,
2021-03-04,2.94,,,,,
2021-03-05,2.77,,,,,
2021-03-06,1.74,,,,,
2021-03-07,0.91,,,,,
2021-03-08,0.08,,,,,
2021-03-09,1.01,,,,,
2021-03-10,1.15,,,,,
2021-03-11,1.21,,,,,
2021-03-12,2.24,,,,,
2021-03-13,1.58,,,,,
2021-03-14,2.36,,,,,
2021-03-15,2.34,,,,,
2021-03-16,2.62,,,,,
2021-03-17,3.49,,,,,
2021-03-18,2.95,,,,,
2021-03-19,3.34,,,,,
2021-03-20,2.86,,,,,
2021-03-21,3.62,,,,,
2021-03-22,5.82,,,,,
2021-03-23,6.11,,,,,
2021-03-24,8.94,,,,,
2021-03-25,8.44,,,,,
2021-03-26,5.63,,,,,
2021-03-27,5.47,,,,,
2021-03-28,6.48,,,,,
2021-03-29,4.89,,,,,
2021-03-30,5.97,,,,,
2021-03-31,7.22,,,,,
2021-04-01,9.02,,,,,
2021-04-02,10.75,,,,,
2021-04-03,11.86,,,,,
2021-04-04,12.51,,,,,
2021-04-05,17.83,,,,,
2021-04-06,19.68,,,,,
2021-04-07,16.48,,,,,
2021-04-08,15.9,,,,,
2021-04-09,16.04,,,,,
2021-04-10,16.9,,,,,
2021-04-11,16.74,,,,,
2021-04-12,15.87,,,,,
2021-04-13,13.14,,,,,
2021-04-14,14.03,,,,,
2021-04-15,12.58,,,,,
2021-04-16,15.62,,,,,
2021-04-17,16.25,,,,,
2021-04-18,20.76,,,,,
2021-04-19,14.27,,,,,
2021-04-20,11.47,,,,,
2021-04-21,12.98,,,,,
2021-04-22,2.87,,,,,
2021-04-23,7.59,,,,,
2021-04-24,8.99,,,,,
2021-04-25,9.11,,,,,
2021-04-26,7.11,,,,,
2021-04-27,5.75,,,,,
2021-04-28,5.33,,,,,
2021-04-29,7.43,,,,,
2021-04-30,5.54,,,,,
2021-05-01,6.72,,,,,
2021-05-02,8.1,,,,,
2021-05-03,9.12,,,,,
